24 November 2018 01:44:54 PM

ODE_PRB
  C++ version
  Test the ODE library.

TEST01
  ODE solves a system of ordinary differential
  equations.

      T              v1              w1              v2              w2              v3              w3              v4              w4              v5              w5              v6              w6              v7              w7              v8              w8              v9              w9              v10              w10              
      0.98        0.946204        0.135796        0.946204        0.135796        0.946204        0.135796        0.946204        0.135796        0.946204        0.135796        0.946204        0.135796        0.948574        0.135665        0.970752        0.134116         1.11337        0.120239         1.50608       0.0478432
      0.99        0.970209        0.134742        0.970209        0.134742        0.970209        0.134742        0.970209        0.134742        0.970209        0.134742        0.970209        0.134742        0.972665        0.134602        0.995309        0.132983         1.13826        0.118668         1.52137       0.0451735
         1        0.994224         0.13361        0.994224         0.13361        0.994224         0.13361        0.994224         0.13361        0.994224         0.13361        0.994224         0.13361        0.996764        0.133463         1.01984        0.131772         1.16285        0.117018         1.53617       0.0424609
      1.01         1.01821        0.132401         1.01821        0.132401         1.01821        0.132401         1.01821        0.132401         1.01821        0.132401         1.01821        0.132401         1.02083        0.132246          1.0443        0.130482         1.18709        0.115292         1.55023       0.0397076
      1.02         1.04214        0.131116         1.04214        0.131116         1.04214        0.131116         1.04214        0.131116         1.04214        0.131116         1.04214        0.131116         1.04484        0.130952         1.06866        0.129114         1.21095         0.11349         1.56359       0.0369162
      1.03         1.06596        0.129754         1.06596        0.129754         1.06596        0.129754         1.06596        0.129754         1.06596        0.129754         1.06596        0.129754         1.06874        0.129582         1.09287        0.127669         1.23438        0.111614         1.57619        0.034089
      1.04         1.08964        0.128317         1.08964        0.128317         1.08964        0.128317         1.08964        0.128317         1.08964        0.128317         1.08964        0.128317         1.09249        0.128136          1.1169        0.126148         1.25735        0.109666         1.58811       0.0312284
      1.05         1.11315        0.126806         1.11315        0.126806         1.11315        0.126806         1.11315        0.126806         1.11315        0.126806         1.11315        0.126806         1.11607        0.126615          1.1407        0.124551         1.27983        0.107647         1.59945       0.0283366
      1.06         1.13644        0.125221         1.13644        0.125221         1.13644        0.125221         1.13644        0.125221         1.13644        0.125221         1.13644        0.125221         1.13942        0.125021         1.16423        0.122879         1.30178         0.10556         1.60999       0.0254161
      1.07         1.15948        0.123562         1.15948        0.123562         1.15948        0.123562         1.15948        0.123562         1.15948        0.123562         1.15948        0.123562         1.16252        0.123353         1.18745        0.121134         1.32316        0.103407         1.62003       0.0224691
      1.08         1.18223        0.121832         1.18223        0.121832         1.18223        0.121832         1.18223        0.121832         1.18223        0.121832         1.18223        0.121832         1.18533        0.121613         1.21033        0.119317         1.34396        0.101188         1.62937       0.0194975
      1.09         1.20467        0.120031         1.20467        0.120031         1.20467        0.120031         1.20467        0.120031         1.20467        0.120031         1.20467        0.120031         1.20781        0.119802         1.23283        0.117429         1.36415       0.0989078         1.63814       0.0165035
       1.1         1.22674        0.118161         1.22674        0.118161         1.22674        0.118161         1.22674        0.118161         1.22674        0.118161         1.22674        0.118161         1.22993        0.117923         1.25492        0.115473         1.38372       0.0965672         1.64628       0.0134891
      1.11         1.24843        0.116223         1.24843        0.116223         1.24843        0.116223         1.24843        0.116223         1.24843        0.116223         1.24843        0.116223         1.25165        0.115975         1.27656        0.113448         1.40263       0.0941688         1.65381       0.0104563
